sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
10,,Default,simple,,Default Category,base,,,,07/03/18 10:59,,,,,fg,,,0,/b.jpeg,,,,,,,,,Use config,Use config,Casio in blue,,,Product Info Column,,11000,0,rtyht,/b.jpeg,,,,,1,0,/b.jpeg,,07/03/18 12:31,,,4,10,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/b.jpeg,,1,0
,,,,Watches,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Feature Products,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Default,simple,,Default Category,base,,,,07/03/18 15:13,,,,,fg,,,0,/d.jpeg,,,,,,,,,Use config,Use config,Rolexo in golden,,,Product Info Column,,1000,0,rtyht,/c.jpeg,,,,,1,0,/d.jpeg,,08/03/18 13:04,,,4,10,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/d.jpeg,,1,0
,,,,Watches,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/d.jeg,,2,0
,,,,Feature Products,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Default,simple,,Default Category,base,,,,08/03/18 13:16,Ankush/AD,,,,Jeans ,,,0,/c.jpeg,,,,,,,,,Use config,Use config,Denim jeans,,,Product Info Column,,3500,0,Jeans,/c.jpeg,,,2000,,1,0,/c.jpeg,,08/03/18 12:59,,,4,20,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c.jpeg,,1,0
,,,,Feature Products,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c.jpeg,,2,0
,,,,Clothes,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Clothes/jeans,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Default,simple,,Default Category,base,,,,08/03/18 13:14,,,,,Shoe For men,,,0,/a.jpeg,,,,,,,,,Use config,Use config,Adi Adiddas,,,Product Info Column,,4500,0,Shoe For men,/a.jpeg,,,1000,,1,0,/a.jpeg,,08/03/18 12:58,,,4,11,10,0,1,0,0,1,1,1,1,0,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/a.jpeg,,1,0
,,,,Feature Products,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shoes,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Default,simple,,Default Category,base,,,,08/03/18 13:02,,,,,Watch,,,0,/e.jpeg,,,,,,,,,Use config,Use config,Rolexo Rado,,,Product Info Column,,5000,0,Rolexo,/e.jpeg,,,4000,,1,0,/e.jpeg,,08/03/18 13:02,,,4,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/e.jpeg,,1,0
,,,,Watches,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Feature Products,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
